--- 分析日志 for: VAH20.csv ---
--- 协议: CC charge current 1.5C ---

清洗后发现 4304 个有效片段。

片段 #     | 起始时间(s)         | 持续(s)      | 状态标签                                | 依据 (I, V, P)
--------------------------------------------------------------------------------------------------------------
1        | 0.00            | 5068.32    | 其他充电阶段                              | I= 1489.2mA, V=3.90V, P=  5.81W
2        | 5098.32         | 1752.28    | 恒压充电 (CV Charge)                    | I=  444.6mA, V=4.20V, P=  1.87W
3        | 6880.59         | 840.00     | 静置 (Rest)                           | I=    0.0mA, V=4.19V, P=  0.00W
4        | 7750.64         | 3599.95    | RPT: C/5 容量测试放电                     | I= -611.1mA, V=4.07V, P= -2.48W
5        | 11350.59        | 30.00      | RPT: IR测量前静置                        | I=  -78.3mA, V=4.02V, P= -0.31W
6        | 11380.59        | 7200.00    | RPT: C/5 容量测试放电                     | I= -611.1mA, V=3.81V, P= -2.33W
7        | 18580.59        | 30.00      | RPT: IR测量前静置                        | I=  -78.2mA, V=3.65V, P= -0.28W
8        | 18610.59        | 7688.37    | RPT: C/5 容量测试放电                     | I= -611.1mA, V=3.30V, P= -2.02W
9        | 26328.97        | 870.00     | 静置 (Rest)                           | I=    0.0mA, V=2.76V, P=  0.00W
10       | 27228.96        | 1909.56    | 恒流充电 (CC Charge)                    | I= 4488.6mA, V=3.83V, P= 17.20W
11       | 29168.52        | 1956.28    | 恒压充电 (CV Charge)                    | I= 1125.0mA, V=4.20V, P=  4.72W
12       | 31154.80        | 840.00     | 静置 (Rest)                           | I=    0.0mA, V=4.19V, P=  0.00W
13       | 32024.85        | 74.96      | 任务剖面: 起飞 (Take-off)                 | I=-14367.5mA, V=3.74V, P=-53.66W
14       | 32099.80        | 800.00     | 任务剖面: 巡航 (Cruise)                   | I=-4266.6mA, V=3.81V, P=-16.25W
15       | 32899.80        | 105.00     | 任务剖面: 降落 (Landing)                  | I=-16015.1mA, V=3.30V, P=-52.61W
16       | 33034.80        | 1036.41    | 静置 (Rest)                           | I=    0.0mA, V=3.68V, P=  0.00W
17       | 34101.21        | 834.50     | 恒流充电 (CC Charge)                    | I= 4488.6mA, V=4.02V, P= 18.02W
18       | 34965.71        | 1828.82    | 恒压充电 (CV Charge)                    | I= 1184.7mA, V=4.20V, P=  4.98W
19       | 36824.53        | 840.00     | 静置 (Rest)                           | I=    0.0mA, V=4.19V, P=  0.00W
20       | 37694.58        | 74.95      | 任务剖面: 起飞 (Take-off)                 | I=-14358.0mA, V=3.74V, P=-53.67W
21       | 37769.53        | 800.00     | 任务剖面: 巡航 (Cruise)                   | I=-4266.2mA, V=3.81V, P=-16.25W
22       | 38569.53        | 105.00     | 任务剖面: 降落 (Landing)                  | I=-16045.4mA, V=3.29V, P=-52.62W
23       | 38704.52        | 953.21     | 静置 (Rest)                           | I=    0.0mA, V=3.68V, P=  0.00W
24       | 39687.74        | 836.43     | 恒流充电 (CC Charge)                    | I= 4488.7mA, V=4.01V, P= 18.02W
25       | 40554.16        | 1759.97    | 恒压充电 (CV Charge)                    | I= 1214.6mA, V=4.20V, P=  5.10W
26       | 42344.14        | 840.00     | 静置 (Rest)                           | I=    0.0mA, V=4.19V, P=  0.00W
27       | 43214.18        | 74.95      | 任务剖面: 起飞 (Take-off)                 | I=-14348.7mA, V=3.74V, P=-53.67W
28       | 43289.14        | 800.00     | 任务剖面: 巡航 (Cruise)                   | I=-4265.5mA, V=3.81V, P=-16.25W
29       | 44089.14        | 105.00     | 任务剖面: 降落 (Landing)                  | I=-16060.3mA, V=3.29V, P=-52.62W
30       | 44224.13        | 988.14     | 静置 (Rest)                           | I=    0.0mA, V=3.68V, P=  0.00W
31       | 45242.28        | 837.34     | 恒流充电 (CC Charge)                    | I= 4488.9mA, V=4.01V, P= 18.02W
32       | 46109.62        | 1820.75    | 恒压充电 (CV Charge)                    | I= 1178.5mA, V=4.20V, P=  4.95W
33       | 47960.37        | 840.00     | 静置 (Rest)                           | I=    0.0mA, V=4.19V, P=  0.00W
34       | 48830.42        | 74.95      | 任务剖面: 起飞 (Take-off)                 | I=-14348.9mA, V=3.74V, P=-53.67W
35       | 48905.38        | 800.00     | 任务剖面: 巡航 (Cruise)                   | I=-4265.2mA, V=3.81V, P=-16.25W
36       | 49705.37        | 105.00     | 任务剖面: 降落 (Landing)                  | I=-16078.2mA, V=3.29V, P=-52.62W
37       | 49840.37        | 1014.06    | 静置 (Rest)                           | I=    0.0mA, V=3.68V, P=  0.00W
38       | 50884.43        | 837.25     | 恒流充电 (CC Charge)                    | I= 4488.6mA, V=4.01V, P= 18.01W
39       | 51751.69        | 1814.78    | 恒压充电 (CV Charge)                    | I= 1177.4mA, V=4.20V, P=  4.94W
40       | 53596.47        | 840.00     | 静置 (Rest)                           | I=    0.0mA, V=4.19V, P=  0.00W
41       | 54466.51        | 74.95      | 任务剖面: 起飞 (Take-off)                 | I=-14345.0mA, V=3.74V, P=-53.67W
42       | 54541.47        | 800.00     | 任务剖面: 巡航 (Cruise)                   | I=-4265.5mA, V=3.81V, P=-16.25W
43       | 55341.47        | 105.00     | 任务剖面: 降落 (Landing)                  | I=-16090.1mA, V=3.28V, P=-52.62W
44       | 55476.46        | 936.79     | 静置 (Rest)                           | I=    0.0mA, V=3.68V, P=  0.00W
45       | 56443.25        | 838.89     | 恒流充电 (CC Charge)                    | I= 4488.7mA, V=4.01V, P= 18.01W
46       | 57312.14        | 1806.62    | 恒压充电 (CV Charge)                    | I= 1173.9mA, V=4.20V, P=  4.93W
47       | 59148.76        | 840.00     | 静置 (Rest)                           | I=    0.0mA, V=4.19V, P=  0.00W
